Current	Voltage	Flow
-1.9209286	-2.8742701	-0.18182593
-1.5671747	-2.9431907	-0.00037342679
-2.123805	-2.8501526	-0.32440853
-1.5282969	-2.8515889	0.26750877
-1.1955057	-3.1362145	-0.11126403
-1.2636512	-2.7595532	0.76224377
-1.7484467	-2.9775937	-0.26765293
-1.9754392	-2.7505528	0.072956873
-1.9453638	-2.9356405	-0.35968723
-1.9972722	-2.7747567	-0.0093861268
-2.0733159	-3.0363071	-0.73930561
-1.5470997	-2.8925522	0.14629777
-2.0733159	-3.0363071	-0.73930561
-2.0986945	-2.7930468	-0.15653363
-1.1973579	-3.0667968	0.060427873
-2.123805	-2.8501526	-0.32440853
-1.841707	-2.9851523	-0.37980983
-1.467321	-2.8241259	0.39714237
-1.3528097	-2.8023889	0.56599607
-1.391981	-2.9983858	0.036832473
-2.1122111	-2.8542268	-0.32300023
-1.9135449	-3.1415014	-0.84252035
-1.3257059	-2.9937164	0.11478117
-1.504022	-3.0366056	-0.17075803
-2.1357079	-2.9497402	-0.58528036
-1.5245972	-2.8023698	0.39425627
-1.5261057	-3.0885639	-0.32273753
-1.4160314	-2.9465259	0.14243197
-1.9783144	-3.0149169	-0.59082862
-2.0888165	-2.8816454	-0.36815203
-1.2614385	-2.8772198	0.47028997
-1.8529638	-3.05853	-0.57451093
-2.0648386	-3.1325706	-0.97148719
-1.185388	-2.872059	0.55924237
-1.5318777	-2.7705862	0.46643477
-1.5671747	-2.9431907	-0.00037342679
-1.9209286	-2.8742701	-0.18182593
-1.4209128	-2.8288079	0.43184537
-1.8500322	-3.1329131	-0.757537
-1.7441447	-2.8037863	0.17116757
-1.3030372	-2.7450707	0.75906407
-1.8831653	-2.8567807	-0.10033913
-2.0888165	-2.8816454	-0.36815203
-1.9787945	-3.1051965	-0.81700777
-1.8903213	-3.0670883	-0.633264
-1.1595801	-3.0876776	0.046003973
-1.4488353	-2.9829739	0.018507773
-1.4405697	-3.0451692	-0.12871473
-1.7839675	-2.7583069	0.24504307
-1.872611	-2.8207536	0.00028297321
-1.9793124	-3.114294	-0.84026949
-1.4617344	-3.0315527	-0.11583823
-1.9262265	-2.8148357	-0.038537827
-1.467321	-2.8241259	0.39714237
-1.2002442	-2.7534037	0.84102447
-1.1595801	-3.0876776	0.046003973
-1.7890509	-2.8790522	-0.061903427
-1.1705284	-3.0771454	0.061386173
-1.8500322	-3.1329131	-0.757537
-1.9306046	-3.0482345	-0.62641282
-1.841707	-2.9851523	-0.37980983
-1.504022	-3.0366056	-0.17075803
-1.4371064	-2.8146052	0.45115847
-1.2636512	-2.7595532	0.76224377
-1.2144896	-2.7419004	0.85553747
-1.1871861	-3.0465666	0.12117527
-1.9786371	-3.002695	-0.56059673
-1.7839675	-2.7583069	0.24504307
-1.5599983	-3.0190529	-0.18285263
-1.1731418	-3.0036063	0.24262057
-1.5925962	-2.8133352	0.29884377
-1.872611	-2.8207536	0.00028297321
-2.1357079	-2.9497402	-0.58528036
-2.0053324	-2.923223	-0.38861193
-1.8316513	-2.7858538	0.12849227
-1.2855555	-2.9370876	0.29650367
-1.4371064	-2.8146052	0.45115847
-2.0053324	-2.923223	-0.38861193
-2.0163654	-2.8560786	-0.23178403
-1.1731418	-3.0036063	0.24262057
-1.5417513	-3.1040341	-0.37705853
-1.8349598	-2.8556738	-0.049366227
-1.4286916	-2.8731996	0.31308737
-1.9859247	-2.7879839	-0.031106427
-1.9787945	-3.1051965	-0.81700777
-1.4741605	-2.8340689	0.36544527
-1.8529638	-3.05853	-0.57451093
-1.3030372	-2.7450707	0.75906407
-1.2614385	-2.8772198	0.47028997
-1.4741605	-2.8340689	0.36544527
-1.2301752	-2.8867439	0.47774307
-1.7484467	-2.9775937	-0.26765293
-2.0866235	-3.1237817	-0.9712996
-1.9754392	-2.7505528	0.072956873
-1.2144896	-2.7419004	0.85553747
-1.3528097	-2.8023889	0.56599607
-1.5417513	-3.1040341	-0.37705853
-1.4160314	-2.9465259	0.14243197
-2.0295205	-3.1044342	-0.86582804
-1.8117279	-2.9468227	-0.25400653
-2.0104543	-3.0633004	-0.74392717
-1.4898028	-2.9828311	-0.022102727
-1.830659	-2.753712	0.20983907
-1.9135449	-3.1415014	-0.84252035
-1.4286916	-2.8731996	0.31308737
-1.8281953	-3.117802	-0.69792228
-1.9425954	-3.1307165	-0.84460867
-1.8727755	-2.9040845	-0.20820873
-2.134169	-2.8507219	-0.33619563
-1.1830666	-3.0073395	0.22336267
-1.8117279	-2.9468227	-0.25400653
-2.0295205	-3.1044342	-0.86582804
-1.9453638	-2.9356405	-0.35968723
-1.9247806	-3.1382238	-0.84556218
-1.4194529	-2.8446706	0.39364857
